num_rows;id;name;host_id;host_name;neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
1970;2598404;DA JOHNNY SUITE;13107637;Cristina;V Prenestino/Centocelle;Entire home/apt;94;2.0;293;10/10/2021;3.17;5.0;1.0;8
1971;2598895;SPAGNA HOME;13308688;Teresa;I Centro Storico;Private room;90;1.0;117;09/11/2021;1.26;2.0;347.0;2
1972;2602807;Labriola St Peter-Free parking-3 bedrooms-2 baths;13331165;Accomodalia;I Centro Storico;Entire home/apt;106;1.0;27;14/11/2021;0.31;19.0;338.0;6
1973;2604914;House Garden Holidays;13340851;Fabrizio;XIV Monte Mario;Entire home/apt;45;3.0;47;31/07/2021;0.54;1.0;70.0;1
1974;2604922;Beautiful attic St. Peter Vatican walk distance;9352588;Francesco;XIII Aurelia;Entire home/apt;100;1.0;5;18/03/2020;0.19;1.0;278.0;0
1975;2607179;residence 300 meters from the Colosseum;13351186;Franco;I Centro Storico;Entire home/apt;62;3.0;407;24/11/2021;4.40;2.0;335.0;5
1976;2607190;New studio in Trastevere;13348595;Cesira;I Centro Storico;Entire home/apt;55;2.0;208;23/02/2020;2.23;1.0;0.0;0
1977;2609687;CasaMastro 2 beautiful apt up to 7 people;244775;Francesco;I Centro Storico;Entire home/apt;115;2.0;173;21/08/2021;1.86;2.0;252.0;2
1978;2610082;Historic Apartament in P.zza Navona;13367626;Stefano;I Centro Storico;Entire home/apt;236;3.0;151;05/11/2021;1.62;2.0;164.0;17
1979;2610660;Sforza Apartment Colosseum;6519534;Alessia & Daniele;I Centro Storico;Entire home/apt;90;3.0;31;21/08/2019;0.36;25.0;0.0;0
1980;2611742;Le stanze di Via Gallia. 2 B&B Roma;13330603;Lucia;VII San Giovanni/Cinecittà;Private room;66;4.0;16;12/06/2019;0.17;2.0;299.0;0
1981;2612979;Trastevere Terrace;13331165;Accomodalia;I Centro Storico;Entire home/apt;69;1.0;156;03/12/2021;1.87;19.0;224.0;41
1982;2613109;Warm double bedroom;2717825;Liviana;I Centro Storico;Private room;38;1.0;213;04/11/2021;2.38;5.0;344.0;27
1983;2615497;Residence Lodi Piano Terra;13395149;Marco;V Prenestino/Centocelle;Entire home/apt;50;5.0;16;02/11/2021;0.20;9.0;361.0;1
1984;2615832;In the heart of Rome !!! Room1 WIFI;13396604;Amira;I Centro Storico;Hotel room;44;1.0;316;01/12/2021;3.41;4.0;361.0;49
