id;name;host_id;zone_id;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;availability_365;number_of_reviews_ltm
49067290;Campo de Fiori Luxury House;10210991;1;Entire home/apt;275;3.0;2;15/11/2021;1.3;124.0;2
49067350;Campo dei Fiori Luxury Terrace Apartment;10210991;1;Entire home/apt;176;3.0;4;11/11/2021;0.94;127.0;4
49068431;Design apartment La Papessa under the Dome;395736506;11;Entire home/apt;150;2.0;3;11/11/2021;1.08;38.0;3
49068480;Relax tra Mare & Storia;298576990;14;Entire home/apt;56;2.0;9;03/11/2021;1.32;349.0;9
49070653;Trastevere apartment;9768460;1;Entire home/apt;100;4.0;12;14/11/2021;2.2;365.0;12
49085140;Camera  zona San Pietro , fronte metro;1790834;1;Private room;20;15.0;3;04/09/2021;0.51;291.0;3
49088072;La seconda casa al mare;199623732;14;Entire home/apt;45;1.0;3;24/10/2021;0.69;154.0;3
49095142;Pinocchi hostel Double Room;74412144;1;Private room;40;2.0;3;17/11/2021;0.55;286.0;3
49095788;Casa Vacanze via dei Riari - Roma Trastevere;395959447;1;Entire home/apt;88;2.0;1;27/06/2021;0.18;229.0;1
49103337;Appartamento Limone;184783943;14;Entire home/apt;45;1.0;2;14/08/2021;0.26;159.0;2
49106018;Apt. 38 Colosseum (disponibile per transitori);389622125;1;Entire home/apt;50;1.0;29;17/11/2021;5.65;295.0;29
49106154;Appartamento ampio zona Stazione Termini;65505986;1;Entire home/apt;100;2.0;3;20/09/2021;0.61;75.0;3
49108970;Girolamo's Jacuzzi place;302306903;1;Entire home/apt;94;3.0;25;30/11/2021;4.24;350.0;25
49120257;Camera  zona San Pietro,  metro Ottaviano;1790834;1;Private room;20;15.0;8;21/11/2021;1.08;53.0;8
49122306;Casa Vacanze La Vittoria;350660076;14;Entire home/apt;51;1.0;1;19/07/2021;0.21;359.0;1
49124555;Homy Host | ⚘Secret Garden⚘ Studio in Trastevere!;114347504;1;Entire home/apt;46;2.0;17;29/11/2021;3.83;340.0;17
49127521;Family apartment;396229080;1;Entire home/apt;69;2.0;32;21/11/2021;5.13;26.0;32
49134663;Charming Superior Double Room2 at Via del Corso;196336270;1;Private room;63;1.0;1;04/10/2021;0.45;239.0;1
49139891;Bellissimi bilocali ang. cottura vicino università;392236821;3;Entire home/apt;65;7.0;3;14/08/2021;0.62;8.0;3
49158677;Pinocchio hostel 3 room;74412144;1;Private room;35;2.0;26;08/11/2021;4.81;218.0;26
49158791;Pinocchio hoste 4 bed room;74412144;1;Private room;35;2.0;4;30/09/2021;0.78;222.0;4
49164751;THE COLOSSEUM'S SECRET (new entry! - ozone san.);1180196;1;Entire home/apt;68;1.0;23;04/12/2021;3.85;146.0;23
49166178;Little Bears Testaccio - Roma;31707718;1;Entire home/apt;45;2.0;5;22/08/2021;1.03;246.0;5
49171514;Valentina House4;34817796;1;Entire home/apt;81;3.0;3;15/11/2021;0.66;89.0;3
49172161;La residenza del viaggiatore;65885021;1;Entire home/apt;124;2.0;1;24/07/2021;0.22;148.0;1
49207217;Affitti brevi Colosseo;396903366;1;Entire home/apt;48;1.0;16;06/12/2021;3.08;38.0;16
49222486;Comoda camera da letto con bagno e cucina privati;397058445;10;Private room;40;2.0;1;26/05/2021;0.15;252.0;1
49229795;MARILYN 's  HOME  near Stadium Olimpico;236755590;3;Entire home/apt;55;1.0;8;13/11/2021;1.15;355.0;8
49241599;Della Croce Luxury - Room 1;397213533;1;Private room;125;1.0;28;08/11/2021;3.77;243.0;28
49244526;Una finestra su Monti - Smart Lodging Urban;349470409;1;Entire home/apt;57;3.0;15;04/12/2021;5.77;342.0;15
49246054;MAISON PANTHEON with SAUNA, Fun & Relax;29815832;1;Entire home/apt;64;2.0;39;05/12/2021;6.32;344.0;39
49255972;Sweet space with patio;7850669;9;Entire home/apt;38;2.0;3;20/08/2021;0.55;0.0;3
49257036;BB Piazza Re di Roma,stazione Tuscolana Roma;14291915;7;Private room;62;1.0;3;03/10/2021;0.45;350.0;3
49259879;Guest House, piazza Re di Roma, S. Giovanni;14291915;7;Private room;59;1.0;2;30/08/2021;0.33;351.0;2
49266111;Casa di Oreste;36517892;2;Entire home/apt;33;5.0;1;10/09/2021;0.33;127.0;1
49269812;Casa di Nonna Maria - Intero appartamento;39261977;7;Entire home/apt;110;1.0;1;06/08/2021;0.24;164.0;1
49280958;Boschetto small terrace at Monti;397632390;1;Entire home/apt;102;3.0;15;08/11/2021;3.63;88.0;15
49284147;Chiara in Pantheon apartment with terrace;162347026;1;Entire home/apt;59;1.0;8;29/11/2021;1.15;251.0;8
